Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
Neighbors,Comedy,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.",Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Lisa Kudrow",2014,97,6.4,236500,150.06,68
Grown Ups,Comedy,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Dennis Dugan,"Adam Sandler, Salma Hayek, Kevin James, Chris Rock",2010,102,6,190385,162,30
The Karate Kid,Action,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",Harald Zwart,"Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han",2010,140,6.2,127983,176.59,61
The Da Vinci Code,Mystery,A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years -- which could shake the foundations of Christianity.,Ron Howard,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen",2006,149,6.6,338280,217.54,46
The Mummy: Tomb of the Dragon Emperor,Action,"In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.",Rob Cohen,"Brendan Fraser, Jet Li, Maria Bello, Michelle Yeoh",2008,112,5.2,124554,102.18,31
True Grit,Adventure,A tough U.S. Marshal helps a stubborn teenager track down her father's murderer.,Ethan Coen,"Jeff Bridges, Matt Damon, Hailee Steinfeld,Josh Brolin",2010,110,7.6,254904,171.03,80
The Fighter,Action,"A look at the early years of boxer ""Irish"" Micky Ward and his brother who helped train him before going pro in the mid 1980s.",David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams,Melissa Leo",2010,116,7.8,290056,93.57,79
Eagle Eye,Action,"Jerry and Rachel are two strangers thrown together by a mysterious phone call from a woman they have never met. Threatening their lives and family, she pushes Jerry and Rachel into a series of increasingly dangerous situations, using the technology of everyday life to track and control their every move.",D.J. Caruso,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson,Michael Chiklis",2008,118,6.6,156158,101.11,43
Indiana Jones and the Kingdom of the Crystal Skull,Action,"Famed archaeologist/adventurer Dr. Henry ""Indiana"" Jones is called back into action when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",Steven Spielberg,"Harrison Ford, Cate Blanchett, Shia LaBeouf,Karen Allen",2008,122,6.2,351361,317.01,65
Quantum of Solace,Action,"James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource. All the while, he still tries to seek revenge over the death of his love.",Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",2008,106,6.6,347798,168.37,58
How to Train Your Dragon,Animation,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Dean DeBlois,"Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson",2010,98,8.1,523893,217.39,74
Cars 2,Animation,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,John Lasseter,"Owen Wilson, Larry the Cable Guy,Michael Caine, Emily Mortimer",2011,106,6.2,110490,191.45,57
Captain Phillips,Biography,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Paul Greengrass,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman,Catherine Keener",2013,134,7.8,346154,107.1,83
Hotel Transylvania 2,Animation,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",2015,89,6.7,69157,169.69,44
Hancock,Action,Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,Peter Berg,"Will Smith, Charlize Theron, Jason Bateman, Jae Head",2008,92,6.4,366138,227.95,49
Despicable Me 2,Animation,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",Pierre Coffin,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",2013,98,7.4,304837,368.05,62
Prince of Persia: The Sands of Time,Action,A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,Alfred Molina",2010,116,6.6,233148,90.76,50
G.I. Joe: The Rise of Cobra,Action,"An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.",Stephen Sommers,"Dennis Quaid, Channing Tatum, Marlon Wayans,Adewale Akinnuoye-Agbaje",2009,118,5.8,180105,150.17,32
You Don't Mess with the Zohan,Action,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Dennis Dugan,"Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson",2008,113,5.5,163144,100.02,54
The Princess and the Frog,Animation,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",Ron Clements,"Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos",2009,97,7.1,95480,104.37,73
Flight,Drama,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",Robert Zemeckis,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman",2012,138,7.3,276347,93.75,76
Home,Animation,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",Tim Johnson,"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,94,6.7,77447,177.34,55
42,Biography,This movie is about Jackie Robinson and his journey to becoming a Brooklyn Dodger and his life during that time.,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford,Nicole Beharie",2013,128,7.5,69659,95,62
Kung Fu Panda,Animation,"The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts.",Mark Osborne,"Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman",2008,92,7.6,329788,215.4,73
Terminator Salvation,Action,"In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?",McG,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood",2009,115,6.6,297093,125.32,49
Mission: Impossible III,Action,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",2006,126,6.9,270429,133.38,66
G.I. Joe: Retaliation,Action,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,Jon M. Chu,"Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee",2013,110,5.8,152145,122.51,41
Rio,Animation,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher",2011,96,6.9,173919,143.62,63
Sex and the City,Comedy,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis",2008,145,5.5,102547,152.64,53
How to Train Your Dragon 2,Animation,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",2014,102,7.9,237565,177,76
Ocean's Thirteen,Crime,"Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon,Michael Mantell",2007,122,6.9,269581,117.14,62
Superman Returns,Action,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",2006,154,6.1,246797,200.07,72
The Twilight Saga: Breaking Dawn - Part 1,Adventure,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham",2011,117,4.9,190244,281.28,45
Talladega Nights: The Ballad of Ricky Bobby,Action,"#1 NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole",2006,108,6.6,137502,148.21,66
The Twilight Saga: Eclipse,Adventure,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner,Xavier Samuel",2010,124,4.9,192740,300.52,58
Sex and the City 2,Comedy,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",2010,146,4.3,62403,95.33,27
